#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2004-12-14T03:06:37
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml7039
#INFO	Target=031.793363+23.462423,bm=60.000000/60.

#RESOURCE=1280
#Name: I/280A
#Title:	All-sky Compiled Catalogue of 2.5 million stars (Kharchenko 2001)
#Table	I_280A_ascc01:
#Name: I/280A/ascc01
#Title:	The all-sky catalogue of 2.5million stars
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	RAJ2000	(F12.8)	Right Ascension J2000.0, epoch 1991.25        (link)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F12.8)	Declination J2000.0, epoch 1991.25	[ucd=POS_EQ_DEC_MAIN]
#Column	Plx	(F7.2)	? Trigonometric parallax	[ucd=POS_PARLX_TRIG]
#Column	e_Plx	(F6.2)	? Standard error in Plx	[ucd=ERROR]
#Column	pmRA	(F8.2)	Proper Motion in RA*cos(DE)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F8.2)	Proper Motion in Declination	[ucd=POS_EQ_PMDEC]
#Column	Bmag	(F6.3)	? B magnitude in Johnson system	[ucd=PHOT_JHN_B]
#Column	Vmag	(F6.3)	? V magnitude in Johnson system	[ucd=PHOT_JHN_V]
#Column	SpType	(A12)	Spectral type in MK or HD system	[ucd=SPECT_TYPE_MK]
#Column	TYC1	(I4)	? TYC1 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC2	(I5)	? TYC2 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC3	(I1)	? TYC3 number from Tycho-2	[ucd=ID_ALTERNATIVE]

recno	RAJ2000	DEJ2000	Plx	e_Plx	pmRA	pmDE	Bmag	Vmag	SpType	TYC1	TYC2	TYC3
	deg	deg	mas	mas	mas/yr	mas/yr	mag	mag
--------	------------	------------	-------	------	--------	--------	------	------	------------	----	-----	-
  744576	 31.79285757	+23.46277743	  49.40	  0.99	  189.99	 -147.09	 3.188	 2.011	K2III       	1758	 2416	1
  744570	 31.73215022	+23.28166070	       	      	   12.81	  -23.69	12.920	12.200	            	1758	 1130	1
  744573	 31.75964454	+23.66096177	       	      	   -9.98	   -7.49	11.395	10.824	            	1758	 1687	1
  744595	 31.92537938	+23.68281523	       	      	   37.01	  -87.39	12.431	11.407	            	1758	 1792	1
  744554	 31.61788295	+23.26496408	  49.09	 26.00	   10.65	   -2.21	10.923	 9.922	            	1758	  894	1
  744567	 31.71172125	+23.21647132	       	      	   -5.38	  -12.79	12.476	11.851	            	1758	  818	1
  744572	 31.74428462	+23.16358028	       	      	    0.61	   -4.59	11.570	10.892	            	1758	  752	1
  744629	 32.13624643	+23.51630124	       	      	   34.70	  -29.01	11.776	11.108	            	1758	 2110	1
  744631	 32.15395542	+23.59627751	       	      	   11.61	  -13.49	13.321	11.695	            	1758	 1901	1
  744545	 31.55934581	+23.16773361	       	      	    7.91	   -8.49	11.556	10.933	            	1758	 1120	1
  744600	 31.95487641	+23.80027991	       	      	    9.61	  -12.29	13.373	11.980	            	1758	 2282	1
  744637	 32.20206440	+23.58775864	       	      	   40.01	  -45.69	12.125	11.761	            	1758	 2276	1
  744517	 31.36734436	+23.35627541	       	      	    3.51	   -5.89	11.916	11.376	            	1758	   98	1
  744558	 31.63423209	+23.86241251	 -89.40	 45.40	    2.01	   -7.70	11.126	10.636	            	1758	 1983	1
  744581	 31.80980484	+23.02883391	  40.40	 23.79	   -5.52	   -5.66	11.059	 9.818	K0          	1758	 1348	1
  744580	 31.80595149	+22.98889527	       	      	    3.90	    6.04	11.668	11.171	F0          	1758	 1194	1
  744647	 32.29133397	+23.29291002	       	      	    7.31	  -11.29	12.681	12.910	            	1758	 2398	1
