#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2004-12-14T03:08:22
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml7809
#INFO	Target=134.621757+11.857701,bm=60.000000/60.

#RESOURCE=1280
#Name: I/280A
#Title:	All-sky Compiled Catalogue of 2.5 million stars (Kharchenko 2001)
#Table	I_280A_ascc01:
#Name: I/280A/ascc01
#Title:	The all-sky catalogue of 2.5million stars
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	RAJ2000	(F12.8)	Right Ascension J2000.0, epoch 1991.25        (link)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F12.8)	Declination J2000.0, epoch 1991.25	[ucd=POS_EQ_DEC_MAIN]
#Column	Plx	(F7.2)	? Trigonometric parallax	[ucd=POS_PARLX_TRIG]
#Column	e_Plx	(F6.2)	? Standard error in Plx	[ucd=ERROR]
#Column	pmRA	(F8.2)	Proper Motion in RA*cos(DE)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F8.2)	Proper Motion in Declination	[ucd=POS_EQ_PMDEC]
#Column	Bmag	(F6.3)	? B magnitude in Johnson system	[ucd=PHOT_JHN_B]
#Column	Vmag	(F6.3)	? V magnitude in Johnson system	[ucd=PHOT_JHN_V]
#Column	SpType	(A12)	Spectral type in MK or HD system	[ucd=SPECT_TYPE_MK]
#Column	TYC1	(I4)	? TYC1 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC2	(I5)	? TYC2 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC3	(I1)	? TYC3 number from Tycho-2	[ucd=ID_ALTERNATIVE]

recno	RAJ2000	DEJ2000	Plx	e_Plx	pmRA	pmDE	Bmag	Vmag	SpType	TYC1	TYC2	TYC3
	deg	deg	mas	mas	mas/yr	mas/yr	mag	mag
--------	------------	------------	-------	------	--------	--------	------	------	------------	----	-----	-
  946907	134.62165408	+11.85777198	  18.67	  0.99	   34.74	  -33.27	 4.415	 4.251	A5m         	 814	 3029	1
  946900	134.55477711	+11.88494263	       	      	   -4.98	   -2.22	11.713	11.064	            	 814	  667	1
  946927	134.76112500	+11.94110000	       	      	  -29.19	  -17.29	      	13.397
  946918	134.70561654	+11.71140866	       	      	  -51.68	   -4.92	11.634	11.024	            	 814	 2061	1
  946926	134.75570838	+11.72292108	 -60.00	 38.09	    1.99	    2.16	11.350	10.305	            	 814	 1963	1
  946866	134.39751816	+11.81675588	 -57.20	 43.59	  -23.12	   -9.82	10.819	10.396	            	 814	 2069	1
  946871	134.44146788	+11.70352584	       	      	   -4.28	  -18.22	11.804	11.521	            	 814	 2189	1
  946951	134.85924706	+11.79507147	  17.00	 46.40	   -6.81	  -28.03	11.177	10.638	            	 814	 2351	1
  946929	134.77105887	+11.65564423	       	      	    9.11	   -2.22	12.284	11.431	            	 814	 2409	1
  946893	134.53475936	+12.10568600	 -10.69	 39.29	  -15.10	 -120.37	10.956	10.158	            	 814	  967	1
  946964	134.91035437	+11.93184189	   1.91	  1.13	  -11.45	  -12.32	 9.048	 8.664	F2          	 814	 1239	1
  946873	134.44718409	+12.11092447	       	      	   -2.18	  -30.32	12.422	11.590	            	 814	  835	1
  946853	134.30984889	+11.96633068	   1.10	 61.40	   -5.97	  -10.52	11.470	10.977	            	 814	  543	1
  946954	134.87050154	+12.07519308	  -1.79	 38.50	   -0.48	   -2.24	11.129	10.631	            	 814	 1701	1
  946891	134.52180900	+11.50996700	       	      	  152.39	 -123.39	16.263	14.617	M
  946887	134.50746218	+11.50587466	       	      	  162.81	 -184.32	12.601	11.493	            	 814	 1274	1
  946977	134.96998695	+11.71281050	       	      	  -16.98	   13.57	12.186	11.176	            	 814	 2091	1
