#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2004-12-14T02:55:02
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml2132
#INFO	Target=222.716667-16.041667,rm=60.

#RESOURCE=1280
#Name: I/280A
#Title:	All-sky Compiled Catalogue of 2.5 million stars (Kharchenko 2001)
#Table	I_280A_ascc01:
#Name: I/280A/ascc01
#Title:	The all-sky catalogue of 2.5million stars
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	RAJ2000	(F12.8)	Right Ascension J2000.0, epoch 1991.25        (link)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F12.8)	Declination J2000.0, epoch 1991.25	[ucd=POS_EQ_DEC_MAIN]
#Column	Plx	(F7.2)	? Trigonometric parallax	[ucd=POS_PARLX_TRIG]
#Column	e_Plx	(F6.2)	? Standard error in Plx	[ucd=ERROR]
#Column	pmRA	(F8.2)	Proper Motion in RA*cos(DE)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F8.2)	Proper Motion in Declination	[ucd=POS_EQ_PMDEC]
#Column	Bmag	(F6.3)	? B magnitude in Johnson system	[ucd=PHOT_JHN_B]
#Column	Vmag	(F6.3)	? V magnitude in Johnson system	[ucd=PHOT_JHN_V]
#Column	SpType	(A12)	Spectral type in MK or HD system	[ucd=SPECT_TYPE_MK]
#Column	TYC1	(I4)	? TYC1 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC2	(I5)	? TYC2 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC3	(I1)	? TYC3 number from Tycho-2	[ucd=ID_ALTERNATIVE]

recno	RAJ2000	DEJ2000	Plx	e_Plx	pmRA	pmDE	Bmag	Vmag	SpType	TYC1	TYC2	TYC3
	deg	deg	mas	mas	mas/yr	mas/yr	mag	mag
--------	------------	------------	-------	------	--------	--------	------	------	------------	----	-----	-
 1481013	222.71990536	-16.04161047	  41.80	  1.04	 -105.51	  -68.08	 2.929	 2.742	A3IV        	6155	 1210	1
 1481007	222.67193219	-15.99709226	  42.28	  1.03	 -103.55	  -62.95	 5.559	 5.141	F3V         	6155	 1209	1
 1480977	222.51126444	-16.10172775	  30.00	 30.00	    9.79	   -2.03	10.731	 9.620	K2          	6155	  758	1
 1481056	222.92435625	-16.10865234	       	      	  -64.28	    6.27	12.641	11.619	            	6155	  753	1
 1481057	222.92460309	-16.18214476	  20.60	 36.79	  -25.18	  -15.97	10.990	10.748	            	6155	  663	1
 1481073	222.98247000	-15.89880600	       	      	    7.44	   -2.31	      	12.117
 1481070	222.97624930	-16.24121605	 -33.00	 28.79	  -48.67	  -63.72	10.623	 9.957	G0          	6155	  573	1
 1481036	222.83942433	-15.74231884	 106.90	 37.29	  -13.48	   -0.61	10.979	10.336	F5          	6155	  231	1
 1481023	222.76932423	-15.70356804	       	      	  -17.18	   -9.62	12.089	11.096	            	6155	  213	1
 1481074	223.00147620	-15.80022523	  -6.19	 61.50	  -23.75	   -5.55	11.021	10.276	G0          	6155	  329	1
 1481091	223.09407327	-16.13253805	       	      	    2.21	    2.47	12.593	12.306	            	6155	  726	1
 1481071	222.97951563	-15.74726787	  49.40	 27.79	  -31.06	    1.38	10.767	10.192	F8          	6155	  223	1
 1481059	222.93859959	-15.70547962	       	      	    4.51	   -0.82	11.922	11.180	            	6155	  210	1
 1480981	222.53245302	-16.40640716	   5.08	  1.23	  -42.75	   -2.18	 9.083	 8.686	F0V         	6155	  535	1
 1481085	223.06900078	-16.33408055	       	      	    5.11	   -8.82	12.065	11.065	            	6155	  457	1
 1480999	222.64606628	-15.56854758	       	      	  -11.08	   -5.12	11.908	11.792	            	6155	  348	1
