#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2004-12-14T02:55:57
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml2714
#INFO	Target=247.351921-26.432002,rm=60.

#RESOURCE=1280
#Name: I/280A
#Title:	All-sky Compiled Catalogue of 2.5 million stars (Kharchenko 2001)
#Table	I_280A_ascc01:
#Name: I/280A/ascc01
#Title:	The all-sky catalogue of 2.5million stars
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	RAJ2000	(F12.8)	Right Ascension J2000.0, epoch 1991.25        (link)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F12.8)	Declination J2000.0, epoch 1991.25	[ucd=POS_EQ_DEC_MAIN]
#Column	Plx	(F7.2)	? Trigonometric parallax	[ucd=POS_PARLX_TRIG]
#Column	e_Plx	(F6.2)	? Standard error in Plx	[ucd=ERROR]
#Column	pmRA	(F8.2)	Proper Motion in RA*cos(DE)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F8.2)	Proper Motion in Declination	[ucd=POS_EQ_PMDEC]
#Column	Bmag	(F6.3)	? B magnitude in Johnson system	[ucd=PHOT_JHN_B]
#Column	Vmag	(F6.3)	? V magnitude in Johnson system	[ucd=PHOT_JHN_V]
#Column	SpType	(A12)	Spectral type in MK or HD system	[ucd=SPECT_TYPE_MK]
#Column	TYC1	(I4)	? TYC1 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC2	(I5)	? TYC2 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC3	(I1)	? TYC3 number from Tycho-2	[ucd=ID_ALTERNATIVE]

recno	RAJ2000	DEJ2000	Plx	e_Plx	pmRA	pmDE	Bmag	Vmag	SpType	TYC1	TYC2	TYC3
	deg	deg	mas	mas	mas/yr	mas/yr	mag	mag
--------	------------	------------	-------	------	--------	--------	------	------	------------	----	-----	-
 1680367	247.35194804	-26.43194608	   7.00	  1.67	   -8.91	  -20.88	 2.908	 1.071	M1Ib + B2.5V	6803	 2158	1
 1680373	247.38001161	-26.57651080	       	      	   10.60	   -0.61	12.174	11.635	            	6803	 2126	1
 1680381	247.44335191	-26.57115821	       	      	   -5.49	  -38.91	11.616	10.704	            	6803	 2137	1
 1680344	247.16700729	-26.34218610	       	      	  -10.09	   -0.61	13.090	11.336	            	6803	  322	1
 1680389	247.48327335	-26.59059575	  10.60	  9.30	  -10.38	  -23.28	 8.884	 8.675	A2          	6803	 2161	1
 1680403	247.57143684	-26.45924226	       	      	  -10.79	    0.98	11.916	10.921	            	6803	 1372	1
 1680405	247.58591036	-26.44065501	  68.19	 37.50	   -4.95	   -0.31	10.616	10.483	A5          	6803	 2160	1
 1680349	247.19470212	-26.60267945	       	      	  -42.63	  -13.24	11.118	10.280	            	6803	  942	1
 1680398	247.55746065	-26.55535307	  18.00	 13.69	  -14.72	  -28.06	 9.738	 9.161	F8          	6803	  622	1
 1680331	247.10226164	-26.47551635	 -32.20	 29.00	   -8.01	   15.23	10.626	 9.140	K2          	6803	  470	1
 1680328	247.08292728	-26.50836893	       	      	   -0.39	    1.18	11.820	11.141	            	6803	  694	1
 1680336	247.12281143	-26.58668489	       	      	  -12.09	   -8.11	12.645	11.657	            	6803	  790	1
 1680353	247.21672893	-26.19865217	   3.79	 27.79	  -12.43	  -28.16	10.072	 9.516	F8          	6799	  806	1
 1680323	247.03571958	-26.45348732	 -12.19	 34.50	    4.33	    3.06	10.480	 9.988	A7          	6803	  676	1
 1680339	247.13200138	-26.22590135	  16.79	 32.59	    3.15	    8.70	10.967	 9.533	K5          	6799	  106	1
 1680348	247.18543049	-26.68838067	       	      	   -7.09	    3.18	12.076	11.054	            	6803	   39	1
