#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2004-12-14T03:07:31
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml7473
#INFO	Target=116.328959+28.026199,bm=60.000000/60.

#RESOURCE=1280
#Name: I/280A
#Title:	All-sky Compiled Catalogue of 2.5 million stars (Kharchenko 2001)
#Table	I_280A_ascc01:
#Name: I/280A/ascc01
#Title:	The all-sky catalogue of 2.5million stars
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	RAJ2000	(F12.8)	Right Ascension J2000.0, epoch 1991.25        (link)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F12.8)	Declination J2000.0, epoch 1991.25	[ucd=POS_EQ_DEC_MAIN]
#Column	Plx	(F7.2)	? Trigonometric parallax	[ucd=POS_PARLX_TRIG]
#Column	e_Plx	(F6.2)	? Standard error in Plx	[ucd=ERROR]
#Column	pmRA	(F8.2)	Proper Motion in RA*cos(DE)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F8.2)	Proper Motion in Declination	[ucd=POS_EQ_PMDEC]
#Column	Bmag	(F6.3)	? B magnitude in Johnson system	[ucd=PHOT_JHN_B]
#Column	Vmag	(F6.3)	? V magnitude in Johnson system	[ucd=PHOT_JHN_V]
#Column	SpType	(A12)	Spectral type in MK or HD system	[ucd=SPECT_TYPE_MK]
#Column	TYC1	(I4)	? TYC1 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC2	(I5)	? TYC2 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC3	(I1)	? TYC3 number from Tycho-2	[ucd=ID_ALTERNATIVE]

recno	RAJ2000	DEJ2000	Plx	e_Plx	pmRA	pmDE	Bmag	Vmag	SpType	TYC1	TYC2	TYC3
	deg	deg	mas	mas	mas/yr	mas/yr	mag	mag
--------	------------	------------	-------	------	--------	--------	------	------	------------	----	-----	-
  674757	116.33068263	+28.02631031	  97.01	  0.87	 -628.55	  -45.90	 2.186	 1.202	K0IIIvar    	1920	 2194	1
  674775	116.42299332	+28.04304683	 -26.10	 28.10	   -8.41	   -3.35	10.825	10.475	            	1920	 2198	1
  674786	116.47134123	+27.93778028	       	      	   -7.59	   -7.01	13.064	11.686	            	1920	  657	1
  674750	116.29543489	+27.84026283	       	      	   -5.29	  -16.31	11.835	11.086	            	1920	   34	1
  674791	116.47900079	+27.87477092	       	      	  -26.79	  -25.71	11.676	11.000	            	1920	 2118	1
  674708	116.10786488	+27.95121448	       	      	 -131.59	 -102.47	11.765	10.713	K5          	1920	  194	1
  674745	116.26921338	+27.81435314	 -38.29	 31.00	    4.45	   -4.62	10.612	10.170	            	1920	    1	1
  674744	116.26495467	+27.81458535	       	      	   -1.19	   -9.81	12.488	11.866	            	1920	 1510	1
  674803	116.53252140	+27.88262615	       	      	  -13.29	  -37.51	11.413	10.673	            	1920	  859	1
  674820	116.58842042	+28.05235939	       	      	   -0.79	   -4.01	13.067	11.221	            	1920	  259	1
  674695	116.06652396	+27.84185896	       	      	   -0.39	  -19.21	11.500	11.248	            	1920	   37	1
  674713	116.12776467	+27.78269285	       	      	    6.80	   -0.61	12.804	12.319	            	1920	   65	1
  674735	116.22306398	+28.32457828	       	      	   -7.49	    5.48	12.285	11.393	            	1924	  157	1
  674770	116.40305841	+28.33517883	       	      	  -13.49	    0.58	12.931	11.933	            	1924	  193	1
  674836	116.65587726	+28.15808558	       	      	  -19.69	  -11.32	12.939	12.288	            	1924	  630	1
  674768	116.38961518	+27.71149915	       	      	    2.20	  -10.11	12.650	12.040	            	1920	 1922	1
  674669	115.97573295	+27.90340114	       	      	    0.50	   -9.31	12.508	10.936	            	1920	  110	1
  674771	116.40557621	+28.36131492	       	      	   17.30	  -11.81	12.087	11.536	            	1924	  777	1
