#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2004-12-14T02:56:34
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml2938
#INFO	Target=263.733627+12.560035,rm=60.

#RESOURCE=1280
#Name: I/280A
#Title:	All-sky Compiled Catalogue of 2.5 million stars (Kharchenko 2001)
#Table	I_280A_ascc01:
#Name: I/280A/ascc01
#Title:	The all-sky catalogue of 2.5million stars
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	RAJ2000	(F12.8)	Right Ascension J2000.0, epoch 1991.25        (link)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F12.8)	Declination J2000.0, epoch 1991.25	[ucd=POS_EQ_DEC_MAIN]
#Column	Plx	(F7.2)	? Trigonometric parallax	[ucd=POS_PARLX_TRIG]
#Column	e_Plx	(F6.2)	? Standard error in Plx	[ucd=ERROR]
#Column	pmRA	(F8.2)	Proper Motion in RA*cos(DE)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F8.2)	Proper Motion in Declination	[ucd=POS_EQ_PMDEC]
#Column	Bmag	(F6.3)	? B magnitude in Johnson system	[ucd=PHOT_JHN_B]
#Column	Vmag	(F6.3)	? V magnitude in Johnson system	[ucd=PHOT_JHN_V]
#Column	SpType	(A12)	Spectral type in MK or HD system	[ucd=SPECT_TYPE_MK]
#Column	TYC1	(I4)	? TYC1 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC2	(I5)	? TYC2 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC3	(I1)	? TYC3 number from Tycho-2	[ucd=ID_ALTERNATIVE]

recno	RAJ2000	DEJ2000	Plx	e_Plx	pmRA	pmDE	Bmag	Vmag	SpType	TYC1	TYC2	TYC3
	deg	deg	mas	mas	mas/yr	mas/yr	mag	mag
--------	------------	------------	-------	------	--------	--------	------	------	------------	----	-----	-
  965558	263.73335321	+12.56057584	  69.44	  0.87	  118.57	 -225.42	 2.284	 2.078	A5III       	1000	 2508	1
  965552	263.71776573	+12.49736680	  40.59	 39.09	  -20.03	    1.39	11.183	10.438	            	1000	 1133	1
  965527	263.64199024	+12.60777350	       	      	   14.52	   -3.91	11.774	11.106	            	1000	 1123	1
  965521	263.63286585	+12.61715324	  66.00	 41.79	    5.05	    6.61	11.221	10.592	            	1000	 2002	1
  965596	263.90249157	+12.61285266	   9.60	 31.79	   12.54	  -23.14	10.844	10.087	G0          	1000	  855	1
  965500	263.55887673	+12.61581894	       	      	   -6.37	   -5.51	12.363	11.848	            	1000	 1547	1
  965492	263.51739786	+12.56819472	       	      	  -25.77	  -47.01	12.154	11.817	            	1000	 1573	1
  965489	263.50436362	+12.51250644	   3.79	  8.00	  -33.37	  -47.39	 9.214	 7.838	K0          	1000	    9	1
  965487	263.49762642	+12.57029662	  40.70	 28.20	   -9.45	   -5.87	10.832	10.197	            	1000	 2203	1
  965605	263.92669407	+12.40823967	  40.20	 74.50	   -4.26	  -22.62	12.195	10.994	            	1000	  817	1
  965513	263.60723238	+12.80466429	 -14.50	 49.20	    4.29	    0.41	11.849	10.080	            	1000	 1918	1
  965518	263.62475996	+12.84424990	       	      	    7.82	   -7.31	11.576	11.605	            	1000	 1269	1
  965497	263.52411330	+12.78793407	  29.10	 48.79	    0.86	  -18.11	11.383	10.341	            	1000	 1577	1
  965638	264.02319434	+12.42754574	       	      	  -32.97	  -42.71	12.297	11.290	            	1000	  363	1
  965624	263.98491899	+12.75612709	       	      	    3.72	   11.28	12.855	11.606	            	1000	 2176	1
  965629	264.00229803	+12.37157935	   5.80	 18.10	  -13.34	   -7.44	10.257	 9.236	G5          	1000	  201	1
