#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2004-12-14T03:09:13
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml8015
#INFO	Target=152.092961+11.967207,bm=60.000000/60.

#RESOURCE=1280
#Name: I/280A
#Title:	All-sky Compiled Catalogue of 2.5 million stars (Kharchenko 2001)
#Table	I_280A_ascc01:
#Name: I/280A/ascc01
#Title:	The all-sky catalogue of 2.5million stars
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	RAJ2000	(F12.8)	Right Ascension J2000.0, epoch 1991.25        (link)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F12.8)	Declination J2000.0, epoch 1991.25	[ucd=POS_EQ_DEC_MAIN]
#Column	Plx	(F7.2)	? Trigonometric parallax	[ucd=POS_PARLX_TRIG]
#Column	e_Plx	(F6.2)	? Standard error in Plx	[ucd=ERROR]
#Column	pmRA	(F8.2)	Proper Motion in RA*cos(DE)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F8.2)	Proper Motion in Declination	[ucd=POS_EQ_PMDEC]
#Column	Bmag	(F6.3)	? B magnitude in Johnson system	[ucd=PHOT_JHN_B]
#Column	Vmag	(F6.3)	? V magnitude in Johnson system	[ucd=PHOT_JHN_V]
#Column	SpType	(A12)	Spectral type in MK or HD system	[ucd=SPECT_TYPE_MK]
#Column	TYC1	(I4)	? TYC1 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC2	(I5)	? TYC2 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC3	(I1)	? TYC3 number from Tycho-2	[ucd=ID_ALTERNATIVE]

recno	RAJ2000	DEJ2000	Plx	e_Plx	pmRA	pmDE	Bmag	Vmag	SpType	TYC1	TYC2	TYC3
	deg	deg	mas	mas	mas/yr	mas/yr	mag	mag
--------	------------	------------	-------	------	--------	--------	------	------	------------	----	-----	-
  949713	152.09358075	+11.96719513	  42.12	  0.79	 -248.30	    5.63	 1.343	 1.392	B7V         	 833	 1381	1
  949704	152.05392759	+11.99693905	  48.00	  8.10	 -240.65	   10.35	 9.005	 8.116	G           	 833	  134	1
  949724	152.13253164	+12.04987311	       	      	  -16.27	   -8.02	12.202	11.932	            	 833	   53	1
  949719	152.12237945	+12.10704806	 -87.50	 49.09	    3.96	  -11.36	11.538	10.605	            	 833	   36	1
  949742	152.27465018	+12.16222064	  -4.30	 35.00	  -18.41	  -28.66	11.022	10.319	G           	 833	  121	1
  949746	152.29254468	+12.17996570	  21.10	 36.20	  -61.56	  -30.24	10.955	10.418	G           	 833	  120	1
  949669	151.83763563	+11.80296934	       	      	  -76.08	  -76.99	12.747	11.920	            	 833	  554	1
  949754	152.35334805	+11.78400826	 -39.79	 60.79	  -17.88	   12.24	10.997	10.425	            	 833	  540	1
  949752	152.33916826	+12.24654249	  25.10	 42.09	 -170.29	  -28.90	10.836	 9.823	K5          	 833	  126	1
  949755	152.35815051	+12.24200256	       	      	  -10.78	   -8.82	12.592	11.712	            	 833	  960	1
  949737	152.25754505	+12.32870421	       	      	   -2.18	   -5.32	12.095	12.074	            	 833	 1218	1
  949727	152.16040650	+12.38580800	       	      	  -19.32	  -18.31	      	12.077
  949730	152.18538234	+12.38565731	       	      	  -52.88	  -38.42	12.417	11.731	            	 833	  837	1
  949695	151.99340573	+12.38888801	       	      	    3.01	   -4.62	12.536	11.500	            	 833	  754	1
  949757	152.38094331	+11.62543863	  35.79	 39.79	  -12.27	    7.33	11.073	10.724	            	 833	  142	1
  949711	152.08358578	+11.51526874	-105.09	 58.50	   -6.64	  -16.08	11.693	10.387	K           	 833	 1117	1
  949705	152.05659849	+11.50316401	 -48.79	 36.00	  -86.67	    4.96	11.014	10.444	F5          	 833	   23	1
  949712	152.08619877	+11.50008188	       	      	   -1.68	  -13.24	12.012	11.362	            	 833	   38	1
  949778	152.57839578	+11.97183773	       	      	   -8.07	    2.17	12.745	11.877	            	 833	  929	1
  949640	151.62447600	+12.14287900	       	      	 -232.32	  -73.01	14.953	13.297	M
  949773	152.51467258	+12.25251135	       	      	  -44.18	   -2.22	11.801	10.603	            	 833	  330	1
  949644	151.65210466	+11.70489114	       	      	   -4.57	   -2.42	12.753	12.606	            	 833	 1282	1
  949653	151.69822483	+11.59724950	       	      	   16.52	  -32.02	11.743	11.176	            	 833	  904	1
  949774	152.54382372	+12.27682139	  12.19	 23.29	  -39.65	  -22.53	10.199	 9.628	F5          	 833	  368	1
  949747	152.31089771	+12.46241460	       	      	  -11.78	  -92.92	12.349	11.960	            	 833	  313	1
  949779	152.59470612	+11.68215825	       	      	  -37.47	  -26.72	12.507	11.952	            	 833	  485	1
  949781	152.59869051	+12.25406108	       	      	    6.91	   -1.72	12.474	13.095	            	 833	    6	1
  949775	152.55001216	+12.33433402	       	      	  -12.58	    3.47	12.366	11.336	            	 833	 1258	1
  949635	151.59133268	+11.65085787	       	      	   -9.97	   -3.42	12.918	12.150	            	 833	 1056	1
  949649	151.68083385	+11.51807850	       	      	  -34.17	  -22.11	11.063	 9.842	K
  949648	151.68043112	+11.51790075	-126.00	 47.09	  -52.05	  -26.95	11.439	10.894	K           	 833	  907	1

