#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2004-12-14T02:57:06
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml3213
#INFO	Target=290.971569-40.615940,rm=60.

#RESOURCE=1280
#Name: I/280A
#Title:	All-sky Compiled Catalogue of 2.5 million stars (Kharchenko 2001)
#Table	I_280A_ascc01:
#Name: I/280A/ascc01
#Title:	The all-sky catalogue of 2.5million stars
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	RAJ2000	(F12.8)	Right Ascension J2000.0, epoch 1991.25        (link)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F12.8)	Declination J2000.0, epoch 1991.25	[ucd=POS_EQ_DEC_MAIN]
#Column	Plx	(F7.2)	? Trigonometric parallax	[ucd=POS_PARLX_TRIG]
#Column	e_Plx	(F6.2)	? Standard error in Plx	[ucd=ERROR]
#Column	pmRA	(F8.2)	Proper Motion in RA*cos(DE)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F8.2)	Proper Motion in Declination	[ucd=POS_EQ_PMDEC]
#Column	Bmag	(F6.3)	? B magnitude in Johnson system	[ucd=PHOT_JHN_B]
#Column	Vmag	(F6.3)	? V magnitude in Johnson system	[ucd=PHOT_JHN_V]
#Column	SpType	(A12)	Spectral type in MK or HD system	[ucd=SPECT_TYPE_MK]
#Column	TYC1	(I4)	? TYC1 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC2	(I5)	? TYC2 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC3	(I1)	? TYC3 number from Tycho-2	[ucd=ID_ALTERNATIVE]

recno	RAJ2000	DEJ2000	Plx	e_Plx	pmRA	pmDE	Bmag	Vmag	SpType	TYC1	TYC2	TYC3
	deg	deg	mas	mas	mas/yr	mas/yr	mag	mag
--------	------------	------------	-------	------	--------	--------	------	------	------------	----	-----	-
 1988612	290.97146410	-40.61564629	  18.51	  0.99	   34.23	 -121.12	 3.865	 3.951	B8V         	7935	 2139	1
 1988604	290.93836035	-40.60687190	       	      	   -4.54	  -22.52	      	10.542
 1988633	291.05610181	-40.75414071	       	      	   -5.91	    4.49	11.953	11.678	            	7935	 2144	1
 1988667	291.18560689	-40.54782873	       	      	   -6.51	   -4.60	11.644	10.720	            	7935	 1855	1
 1988602	290.92752334	-40.81099879	       	      	   -1.61	   -3.20	11.752	10.972	            	7935	  263	1
 1988571	290.79463899	-40.43913250	 -13.10	 37.79	   -0.19	   -5.75	10.812	10.348	F5          	7935	 1475	1
 1988682	291.24538699	-40.72425075	  34.79	 58.00	   12.25	    3.28	11.376	10.238	            	7935	 1960	1
 1988546	290.68987737	-40.77844153	       	      	   -5.11	    1.19	12.218	10.918	            	7935	 2102	1
 1988701	291.32587887	-40.55437455	       	      	   -6.41	   -6.00	12.470	11.198	            	7935	 1745	1
 1988576	290.80857717	-40.86681793	       	      	    4.78	  -10.30	11.977	11.211	            	7935	  509	1
 1988527	290.64695299	-40.48201868	       	      	   14.58	  -34.40	11.827	10.719	            	7935	 1629	1
 1988641	291.09320315	-40.33952416	       	      	   -2.01	  -10.60	11.961	11.065	            	7935	 1907	1
 1988629	291.04972170	-40.31442521	       	      	   11.98	  -24.30	11.953	10.970	            	7935	 1945	1
 1988550	290.70343331	-40.84871602	       	      	   -9.11	   -5.50	12.702	11.562	            	7935	   73	1
 1988587	290.85585703	-40.31652289	   2.92	  1.49	   10.21	   -6.24	10.189	 9.095	K0/K1III    	7935	 1455	1
 1988649	291.11124997	-40.92902478	       	      	    0.18	    3.89	11.653	10.963	            	7935	  221	1
 1988716	291.40283735	-40.66901289	       	      	    7.28	   -5.50	11.970	12.123	            	7935	 1876	1
