#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2004-12-14T03:00:46
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml5041
#INFO	Target=331.445982-00.319851,bm=60.000000/60.

#RESOURCE=1280
#Name: I/280A
#Title:	All-sky Compiled Catalogue of 2.5 million stars (Kharchenko 2001)
#Table	I_280A_ascc01:
#Name: I/280A/ascc01
#Title:	The all-sky catalogue of 2.5million stars
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	RAJ2000	(F12.8)	Right Ascension J2000.0, epoch 1991.25        (link)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F12.8)	Declination J2000.0, epoch 1991.25	[ucd=POS_EQ_DEC_MAIN]
#Column	Plx	(F7.2)	? Trigonometric parallax	[ucd=POS_PARLX_TRIG]
#Column	e_Plx	(F6.2)	? Standard error in Plx	[ucd=ERROR]
#Column	pmRA	(F8.2)	Proper Motion in RA*cos(DE)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F8.2)	Proper Motion in Declination	[ucd=POS_EQ_PMDEC]
#Column	Bmag	(F6.3)	? B magnitude in Johnson system	[ucd=PHOT_JHN_B]
#Column	Vmag	(F6.3)	? V magnitude in Johnson system	[ucd=PHOT_JHN_V]
#Column	SpType	(A12)	Spectral type in MK or HD system	[ucd=SPECT_TYPE_MK]
#Column	TYC1	(I4)	? TYC1 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC2	(I5)	? TYC2 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC3	(I1)	? TYC3 number from Tycho-2	[ucd=ID_ALTERNATIVE]

recno	RAJ2000	DEJ2000	Plx	e_Plx	pmRA	pmDE	Bmag	Vmag	SpType	TYC1	TYC2	TYC3
	deg	deg	mas	mas	mas/yr	mas/yr	mag	mag
--------	------------	------------	-------	------	--------	--------	------	------	------------	----	-----	-
 1255264	331.44593869	-00.31982656	   4.13	  0.82	   18.48	   -9.29	 3.906	 2.936	G2Ib        	5224	 1806	1
 1255254	331.37484750	-00.42264700	       	      	  -10.60	   23.58	      	13.077
 1255226	331.24654800	-00.37039300	       	      	  -26.90	    7.98	      	12.959
 1255298	331.63267960	-00.43926664	  -1.79	 35.59	   10.56	   -5.67	11.090	10.433	            	5224	 1418	1
 1255240	331.32605247	-00.13078770	   6.19	 13.10	  -12.27	   -3.58	 9.965	 8.388	K5          	5224	 1648	1
 1255305	331.66330274	-00.42426781	       	      	   23.52	   -6.08	12.239	11.554	            	5224	 1272	1
 1255235	331.31673750	-00.53455500	       	      	    5.59	   18.78	      	13.317
 1255278	331.54007589	-00.55592328	 -18.39	 23.70	   16.21	   -8.31	10.517	 9.931	G0          	5224	 1201	1
 1255260	331.39855350	-00.05268000	       	      	  -35.31	   -1.61	      	13.197
 1255198	331.12670492	-00.28959491	       	      	   14.32	   -6.98	12.005	11.569	            	5224	 1498	1
 1255223	331.22133600	-00.07220700	       	      	   -9.91	   -4.91	      	12.789
 1255213	331.16774550	-00.12076900	       	      	   -3.51	  -25.91	      	13.498
 1175638	331.49594059	+00.04135436	  52.90	 61.09	   58.12	  -39.69	11.619	10.657	            	 558	 2376	1
 1255252	331.36834051	-00.70217955	       	      	   -7.27	  -10.78	12.073	12.334	            	5224	  666	1
 1255214	331.17002964	-00.02850943	 -47.09	 39.90	    7.21	    1.25	11.495	10.232	            	5224	 1432	1
 1255234	331.31370792	-00.70005110	 -15.69	 25.70	   57.79	   -7.03	10.335	 9.731	K0          	5224	  662	1
 1175612	331.38223050	+00.07803100	       	      	  -20.91	  -58.11	      	12.458
 1255315	331.74040350	-00.01495300	       	      	  -21.11	    4.98	      	13.087
 1255329	331.84974918	-00.17633056	       	      	   -0.07	   -5.08	12.137	10.906	            	5224	 1640	1
