#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2004-12-14T02:59:10
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml4301
#INFO	Target=304.500000-12.533333,rm=600.

#RESOURCE=1280
#Name: I/280A
#Title:	All-sky Compiled Catalogue of 2.5 million stars (Kharchenko 2001)
#Table	I_280A_ascc01:
#Name: I/280A/ascc01
#Title:	The all-sky catalogue of 2.5million stars
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	RAJ2000	(F12.8)	Right Ascension J2000.0, epoch 1991.25        (link)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F12.8)	Declination J2000.0, epoch 1991.25	[ucd=POS_EQ_DEC_MAIN]
#Column	Plx	(F7.2)	? Trigonometric parallax	[ucd=POS_PARLX_TRIG]
#Column	e_Plx	(F6.2)	? Standard error in Plx	[ucd=ERROR]
#Column	pmRA	(F8.2)	Proper Motion in RA*cos(DE)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F8.2)	Proper Motion in Declination	[ucd=POS_EQ_PMDEC]
#Column	Bmag	(F6.3)	? B magnitude in Johnson system	[ucd=PHOT_JHN_B]
#Column	Vmag	(F6.3)	? V magnitude in Johnson system	[ucd=PHOT_JHN_V]
#Column	SpType	(A12)	Spectral type in MK or HD system	[ucd=SPECT_TYPE_MK]
#Column	TYC1	(I4)	? TYC1 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC2	(I5)	? TYC2 number from Tycho-2        (link)	[ucd=ID_ALTERNATIVE]
#Column	TYC3	(I1)	? TYC3 number from Tycho-2	[ucd=ID_ALTERNATIVE]

recno	RAJ2000	DEJ2000	Plx	e_Plx	pmRA	pmDE	Bmag	Vmag	SpType	TYC1	TYC2	TYC3
	deg	deg	mas	mas	mas/yr	mas/yr	mag	mag
--------	------------	------------	-------	------	--------	--------	------	------	------------	----	-----	-
 1414188	304.51341030	-12.54485877	  30.40	  0.91	   63.72	    4.05	 4.525	 3.573	G6/G8III    	5749	 2530	1
 1414192	304.52958425	-12.58447510	  30.39	 48.90	    6.40	   -6.40	11.268	10.393	            	5749	  138	1
 1414167	304.41190045	-12.50821403	   5.15	  0.95	   22.07	    0.31	 5.287	 4.240	G3Ib        	5748	 2598	1
 2500798	304.41188399	-12.50803450	   4.75	  0.95	   22.22	    0.75	      	 8.600
 1414165	304.40306295	-12.51781110	       	      	    0.91	   -7.42	      	 8.942
 1414138	304.32706404	-12.60139216	       	      	    5.31	   -4.39	11.639	11.313	            	5748	  263	1
 1414141	304.34056218	-12.64576403	       	      	    9.11	  -10.09	12.613	11.964	            	5748	  202	1
 1414218	304.65899218	-12.40011524	       	      	  -11.58	   -1.09	12.317	11.089	            	5749	 1206	1
 1414119	304.27762872	-12.45355034	       	      	   26.71	    4.40	13.370	11.687	            	5748	  639	1
 1414114	304.25991645	-12.58707011	       	      	  -12.08	  -62.19	13.378	11.960	            	5748	 1605	1
 1414238	304.73406324	-12.43962718	 -27.89	 34.40	    0.21	   -1.80	10.931	 9.476	K5          	5749	 1354	1
 1414240	304.73858421	-12.63897660	       	      	    2.06	   -1.37	11.963	10.159	            	5749	 1071	1
 1414183	304.47223039	-12.27317791	  17.20	 30.20	   18.81	   -1.50	11.194	 9.960	            	5749	  621	1
 1414216	304.65463299	-12.29096277	 -69.59	 61.70	    1.34	  -13.39	12.000	10.928	            	5749	  531	1
 1414111	304.25728617	-12.71915232	       	      	    7.81	  -13.09	12.696	11.942	            	5748	  200	1
 1414094	304.21693167	-12.66182894	       	      	   -7.08	   -9.09	11.924	11.831	            	5748	  366	1
 1414135	304.31937512	-12.28454282	       	      	   -2.68	   -9.59	11.903	10.940	            	5748	  893	1
