#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2004-12-14T02:35:30
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	Ref=Vxml23538
#INFO	CatalogsExamined=2
#  2 catalogues with potential matches were examined
#
#INFO	Target=201.298247-11.161322,bm=600.000000/600.

#RESOURCE=1289
#Name: I/289
#Title:	UCAC2 Catalogue (Zacharias+ 2003)
#Table	I_289_out:
#Name: I/289/out
#Title:	The Second U.S. Naval Observatory CCD Astrograph Catalog
#Coosys	J2000_2000.000:	eq_FK5 2000_2000.000
#Column	_r	(F8.6)	Distance from center (RA(ICRS)=201.2982472, DE(ICRS)=-11.1613219)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_RAJ2000	(A12)	Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(A12)	Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	2UCAC	(I8)	[00000001,48330571] UCAC designation (1)        (link)	[ucd=ID_MAIN]
#Column	RA(ICRS)	(F11.7)	Right ascension (degrees), ICRS, Ep=J2000 (2)	[ucd=POS_EQ_RA_MAIN]
#Column	DE(ICRS)	(F11.7)	Declination (degrees), ICRS, Ep=J2000 (2)	[ucd=POS_EQ_DEC_MAIN]
#Column	e_RAdeg	(I3)	Minimal mean error on RAdeg (3)	[ucd=ERROR]
#Column	e_DEdeg	(I3)	Minimal mean error on DEdeg (3)	[ucd=ERROR]
#Column	UCmag	(F5.2)	Magnitude in UCAC system (579-642nm) (5)	[ucd=PHOT_MAG_OPTICAL]
#Column	No	(I2)	Number of UCAC observations for the star	[ucd=NUMBER]
#Column	Nc	(I2)	Number of catalog positions used for pmRA, pmDE	[ucd=NUMBER]
#Column	pmRA	(F8.1)	Proper motion in RA(*cos(Dec)) (7)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F8.1)	Proper motion in Dec	[ucd=POS_EQ_PMDEC]
#Column	2Mkey	(I10)	2MASS (II/246) Unique source identifier        (link)	[ucd=ID_CROSSID]
#Column	Jmag	(F6.3)	? J magnitude (1.2um) from 2MASS	[ucd=PHOT_JHN_J]
#Column	Kmag	(F6.3)	? K magnitude (2.2um) from 2MASS	[ucd=PHOT_JHN_K]

_r	_RAJ2000	_DEJ2000	2UCAC	RA(ICRS)	DE(ICRS)	e_RAdeg	e_DEdeg	UCmag	No	Nc	pmRA	pmDE	2Mkey	Jmag	Kmag
deg	"h:m:s"	"d:m:s"		deg	deg	mas	mas	mag			mas/yr	mas/yr		mag	mag
--------	------------	------------	--------	-----------	-----------	---	---	-----	--	--	--------	--------	----------	------	------
0.042108	13 25 17.111	-11 07 32.89	27849112	201.3212945	-11.1258014	 16	 15	12.30	 6	 2	    -8.3	     7.5	 287182211	11.159	10.613
0.057947	13 25 20.458	-11 12 23.39	27849115	201.3352412	-11.2064967	 24	 15	13.16	 6	 2	   -20.9	    -7.9	 287182664	12.106	11.653
0.058993	13 25 24.413	-11 11 17.90	27849119	201.3517209	-11.1883059	 16	 15	12.74	 6	 3	   -17.7	    21.9	 287182597	11.975	11.622
0.072295	13 25 28.669	-11 08 33.81	27849121	201.3694542	-11.1427248	 21	 49	15.54	 2	 2	   -16.8	     9.0	 287182262	14.616	14.233
0.074876	13 25 28.564	-11 07 59.86	27849120	201.3690153	-11.1332948	 26	 15	13.36	 4	 2	   -11.7	   -10.0	 287182229	12.057	11.447
0.075641	13 24 59.057	-11 13 01.26	27849098	201.2460727	-11.2170167	 15	 15	14.27	 4	 2	    -5.2	    -8.6	 287164969	13.040	12.737
0.094620	13 25 18.434	-11 15 06.12	27849114	201.3268103	-11.2516989	 37	 29	14.61	 4	 2	   -12.9	    -3.7	 287182747	13.554	13.203
0.101879	13 25 33.403	-11 06 43.71	27849123	201.3891812	-11.1121412	 15	 16	11.17	 4	 3	   -10.9	    20.1	 287182192	10.376	10.037
0.104630	13 25 12.623	-11 03 24.40	27849107	201.3025974	-11.0567789	 26	 25	12.31	 2	 2	    22.3	   -22.4	 287165763	11.610	11.347
0.107777	13 25 29.817	-11 14 20.98	27849122	201.3742392	-11.2391614	 16	 15	14.37	 3	 2	   -19.1	    -3.3	 287182728	13.317	12.878
0.108082	13 25 06.802	-11 16 03.45	27849104	201.2783436	-11.2676259	 15	 83	14.52	 2	 2	    -2.9	    -0.5	 287164883	15.138	14.568
0.117345	13 24 43.138	-11 08 43.61	27849095	201.1797427	-11.1454467	 26	 41	16.10	 2	 2	     4.7	     8.3	 287162309	14.643	14.262
0.123677	13 25 33.603	-11 14 46.08	27849124	201.3900142	-11.2461320	 27	 15	14.42	 3	 2	   -17.6	     4.6	 287182741	13.517	13.098
0.127347	13 24 40.673	-11 08 43.38	27849092	201.1694692	-11.1453823	 15	 18	14.29	 2	 2	   -14.9	   -14.7	 287162308	13.109	12.591
0.128736	13 25 34.259	-11 15 02.36	27849125	201.3927448	-11.2506550	 23	 78	16.24	 2	 2	   -14.7	    15.8	 287182745	15.060	14.988
0.131124	13 25 15.135	-11 01 51.62	27849109	201.3130624	-11.0310067	 20	 15	13.65	 4	 2	     0.2	    -8.5	 287182097	12.873	12.592
0.138408	13 24 53.945	-11 16 46.15	27849097	201.2247706	-11.2794850	 19	 15	15.42	 2	 2	    -6.2	    -5.7	 287164858	13.828	13.198
0.141452	13 24 59.925	-11 17 40.25	27849099	201.2496874	-11.2945137	 35	 17	14.29	 3	 2	   -26.1	    22.1	 287164835	12.892	12.360
0.144255	13 25 04.818	-11 18 10.46	27849102	201.2700753	-11.3029059	 18	 15	14.26	 4	 2	   -18.9	    -1.6	 287164823	12.901	12.440
0.149550	13 24 52.575	-11 02 00.76	27849096	201.2190612	-11.0335448	 33	 15	14.31	 4	 2	   -20.1	     7.8	 287165802	13.249	13.010
0.152927	13 25 42.990	-11 04 41.83	27849130	201.4291236	-11.0782848	 16	 41	15.66	 2	 2	   -15.3	     1.1	 287182155	14.513	14.083
0.153340	13 25 07.862	-11 00 31.45	27849105	201.2827574	-11.0087367	 21	 15	15.80	 3	 2	   -10.8	   -16.0	 287165836	14.233	13.594
0.158312	13 25 48.095	-11 12 50.73	27849134	201.4503971	-11.2140917	 15	 22	13.82	 4	 2	    -7.0	     5.3	 287185232	12.886	12.563
0.158489	13 25 22.697	-11 18 47.37	27849118	201.3445692	-11.3131592	 15	 36	16.36	 2	 2	   -13.4	    -6.5	 287182850	15.068	14.542
0.161066	13 24 41.968	-11 16 03.37	27849094	201.1748680	-11.2676023	 15	 15	12.58	 4	 2	   -18.7	   -11.2	 287162511	11.585	11.171
0.164375	13 25 03.010	-11 19 18.92	27849101	201.2625398	-11.3219225	 15	 15	14.64	 3	 2	   -31.1	    16.9	 287164794	13.526	13.155
0.172155	13 24 39.690	-11 02 56.07	27849091	201.1653733	-11.0489078	 28	 47	15.55	 2	 2	    -8.1	    -8.7	 287162148	14.264	13.713
0.174708	13 25 05.095	-10 59 19.09	28026025	201.2712303	-10.9886373	 15	 15	11.80	 6	 2	   -40.2	   -38.4	 287165865	10.120	 9.407
0.176490	13 24 28.529	-11 10 29.12	27849086	201.1188724	-11.1747559	 21	 15	13.71	 4	 2	    -3.1	   -27.2	 287162355	12.738	12.371
0.178994	13 25 21.018	-11 20 10.00	27849116	201.3375742	-11.3361109	 46	 15	15.11	 3	 2	   -13.8	   -14.4	 287182874	14.181	13.804
0.179437	13 25 17.029	-10 58 59.79	28026036	201.3209562	-10.9832739	 71	 31	15.88	 3	 2	    -8.5	     4.3	 287182050	14.813	14.332
0.182499	13 25 12.684	-11 20 37.55	27849108	201.3028518	-11.3437648	 19	 40	14.18	 2	 2	   -17.6	    -8.6	 287164767	13.554	12.853
0.185707	13 25 43.451	-11 17 37.26	27849131	201.4310477	-11.2936837	 14	 15	10.61	 4	 5	   -18.2	     2.6	 287185095	 8.837	 8.136
0.187194	13 25 57.347	-11 09 18.73	27849141	201.4889462	-11.1552034	 49	 74	15.65	 2	 2	     0.8	     2.3	 287185315	14.528	14.208
0.187498	13 24 59.483	-10 58 49.68	28026018	201.2478468	-10.9804659	 28	 15	13.94	 4	 2	    37.7	   -11.9	 287165879	12.376	11.798
0.189678	13 25 53.104	-11 04 36.23	27849138	201.4712648	-11.0767298	 27	 15	14.80	 3	 2	    -4.4	    -8.4	 287185445	14.521	14.382
0.190845	13 25 17.484	-11 21 02.29	27849113	201.3228486	-11.3506353	100	 87	16.04	 2	 2	    -1.7	     6.5	 287182907	15.176	14.790
0.191707	13 25 54.898	-11 14 05.35	27849140	201.4787424	-11.2348195	 49	 39	15.25	 2	 2	    -7.6	    -8.1	 287185197	13.930	13.591
0.194322	13 25 19.564	-10 58 11.14	28026039	201.3315177	-10.9697623	103	 27	16.10	 2	 2	   -15.4	     7.0	 287182041	14.800	14.449
0.194694	13 25 52.488	-11 03 42.00	27849137	201.4686983	-11.0616670	 15	 17	14.02	 4	 2	    -5.5	   -16.2	 287185469	12.938	12.633
0.199051	13 24 40.757	-11 00 26.10	27849093	201.1698227	-11.0072500	 52	 15	15.79	 3	 2	    -0.2	     0.4	 287162089	14.025	13.345
0.204488	13 25 07.947	-10 57 26.55	28026028	201.2831124	-10.9573737	 25	 15	14.34	 4	 2	   -17.6	    -8.1	 287165911	12.804	12.297
0.206348	13 25 35.020	-11 20 38.71	27849126	201.3959177	-11.3440870	 52	 79	15.91	 2	 2	   -15.6	   -12.5	 287182890	14.477	14.141
0.211880	13 24 22.490	-11 05 36.18	27849080	201.0937095	-11.0933845	 15	 16	16.04	 2	 2	   -20.9	    -7.3	 287162219	14.595	14.093
0.212272	13 24 23.231	-11 14 19.80	27849082	201.0967959	-11.2388325	 15	 15	15.00	 2	 2	   -17.9	     4.5	 287162451	13.953	13.599
0.213607	13 25 42.581	-11 19 59.89	27849129	201.4274195	-11.3333023	 15	 31	14.74	 2	 2	   -20.1	    -5.9	 287182868	13.684	13.250
0.213682	13 25 00.742	-11 22 13.31	27849100	201.2530930	-11.3703650	 16	 39	14.54	 3	 2	   -20.1	    -7.4	 287164725	13.356	12.990
0.215096	13 26 01.476	-11 13 46.84	27849145	201.5061492	-11.2296764	 65	 34	15.70	 2	 2	   -17.4	    -6.0	 287185200	14.251	13.677
0.216127	13 25 59.690	-11 15 03.63	27849144	201.4987095	-11.2510078	 28	 34	14.86	 2	 2	   -20.4	    -0.2	 287185171	13.497	12.943
0.220461	13 25 15.696	-11 22 52.11	27849111	201.3154009	-11.3811406	 40	 23	15.71	 3	 2	   -19.1	   -11.7	 287182949	14.524	14.044


#RESOURCE=1294
#Name: I/294
#Title:	The UCAC2 Bright Star Supplement (Urban+, 2004)
#Table	I_294_ucac2bss:
#Name: I/294/ucac2bss
#Title:	UCAC Bright Star Supplement
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	_r	(F8.6)	Distance from center (RA(ICRS)=201.29824720, DE(ICRS)=-11.16132190)	[ucd=POS_ANG_DIST_GENERAL]
#Column	_RAJ2000	(A12)	Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(A12)	Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	ID	(I8)	[50000001,] UCAC2 BSS identifier (1)        (link)	[ucd=ID_MAIN]
#Column	RA(ICRS)	(F12.8)	RA at epoch J2000.0 (ICRS) (2)	[ucd=POS_EQ_RA_MAIN]
#Column	DE(ICRS)	(F12.8)	Dec at epoch J2000.0 (ICRS) (2)	[ucd=POS_EQ_DEC_MAIN]
#Column	e_RAdeg	(F6.2)	S.e. of RA at central ep. (*cos DE) (3)	[ucd=ERROR]
#Column	e_DEdeg	(F6.2)	S.e. of Dec at central epoch (3)	[ucd=ERROR]
#Column	src	(A1)	Source catalog for astrometry (4)	[ucd=REFER_CODE]
#Column	pmRA	(F8.2)	? Proper motion in RA (no cos DE) (6)	[ucd=POS_EQ_PMRA]
#Column	pmDE	(F9.3)	? Proper motion in DE (6)	[ucd=POS_EQ_PMDEC]
#Column	B-V	(F6.3)	? Johnson B-V color index (9)	[ucd=PHOT_JHN_B-V]
#Column	Vmag	(F6.2)	? Johnson V magnitude (12)	[ucd=PHOT_JHN_V]
#Column	TYC1	(I4)	? Tycho-2 number (17)	[ucd=ID_ALTERNATIVE]
#Column	TYC2	(I5)	? Tycho-2 number (17)	[ucd=ID_ALTERNATIVE]
#Column	TYC3	(I1)	? Tycho-2 number (17)	[ucd=ID_ALTERNATIVE]
#Column	HIP	(I6)	? Hipparcos number (19)	[ucd=ID_ALTERNATIVE]
#Column	2mID	(I10)	? 2MASS pts_key star id (21)	[ucd=ID_ALTERNATIVE]
#Column	2mJmag	(F6.3)	? 2MASS J magnitude (22)	[ucd=PHOT_JHN_J]
#Column	astflg	(A1)	Warning flag for astrometry (25)	[ucd=CODE_MISC]

recno	_r	_RAJ2000	_DEJ2000	ID	RA(ICRS)	DE(ICRS)	e_RAdeg	e_DEdeg	src	pmRA	pmDE	B-V	Vmag	TYC1	TYC2	TYC3	HIP	2mID	2mJmag	astflg
	deg	"h:m:s"	"d:m:s"		deg	deg	mas	mas		mas/yr	mas/yr	mag	mag						mag
--------	--------	------------	------------	--------	------------	------------	------	------	-	--------	---------	------	------	----	-----	-	------	----------	------	-
   47510	0.000000	13 25 11.579	-11 09 40.76	50047510	201.29824701	-11.16132203	  0.75	  0.54	H	  -43.32	  -31.730	-0.235	  0.98	5547	 1518	1	 65474	 287165325	 1.461
   47508	0.422719	13 23 56.466	-10 52 15.42	50047508	200.98527387	-10.87094985	  5.00	  6.00	T	  -50.20	  -21.000	      	      	5547	  592	1	      	 287146137	 7.107
   47511	0.834489	13 25 45.004	-11 59 04.49	50047511	201.43751500	-11.98458167	100.30	133.60	T	        	         	      	      	5547	  860	1	      	1233057880	11.237	N
   47499	1.059753	13 21 35.309	-11 44 49.38	50047499	200.39712057	-11.74705031	  0.80	  0.59	H	  -62.76	  -12.640	 1.352	  7.75	5547	  715	1	 65191	 287105277	 5.487
   47495	1.200230	13 20 19.984	-11 18 14.88	50047495	200.08326792	-11.30413197	  0.69	  0.49	H	 -116.73	   -5.600	 1.000	  6.73	5547	  178	1	 65074	 287068192	 4.967	*
   47494	1.432001	13 19 44.104	-11 40 22.73	50047494	199.93376763	-11.67298025	  1.06	  0.84	D	  -31.73	  -18.430	      	      	5547	 1520	1	 65023	 287066607	 6.956
   47493	1.433032	13 19 43.829	-11 40 22.53	50047493	199.93262077	-11.67292589	 50.33	 38.68	D	  -31.73	  -18.430	      	      	5547	 1520	2	 65023	 287066602	 7.465
   47496	1.513370	13 20 28.057	-10 11 25.52	50047496	200.11690212	-10.19042255	  0.83	  0.56	H	   -5.88	   15.730	 1.140	  8.12	5547	   49	1	 65093	 287083497	 6.301
   47498	1.520432	13 21 12.236	-09 59 56.78	50047498	200.30098343	-09.99910582	  0.79	  0.54	H	 -125.17	   46.200	 0.872	  7.20	5544	  885	1	 65163	 287089626	 5.627
   47513	1.590776	13 26 43.168	-12 42 27.59	50047513	201.67986526	-12.70766416	  0.87	  0.46	H	 -131.79	  -21.220	 1.477	  5.27	5550	 1597	1	 65581	1233079686	 2.608
   47501	1.603161	13 22 08.252	-12 34 46.36	50047501	200.53438154	-12.57954428	  0.86	  0.53	H	    5.48	   -4.500	 1.610	  6.88	5550	  417	1	 65239	1240595963	 3.836
   47490	1.776350	13 18 49.996	-12 00 55.75	50047490	199.70831493	-12.01548659	  0.78	  0.52	H	  -33.95	   -3.270	 0.077	  7.57	5547	  907	1	 64953	1233497517	 7.418
   47518	1.858993	13 31 48.539	-10 15 31.39	50047518	202.95224661	-10.25872028	  0.88	  0.61	H	  -62.01	  -19.190	 1.146	  8.07	5548	  294	1	 65991	 299995287	 6.200
   47512	1.895667	13 26 41.504	-13 01 16.50	50047512	201.67293492	-13.02125093	 10.00	 13.00	T	   -0.92	   -2.000	      	      	5550	  335	1	      	1233080263	 6.894
   47492	1.899585	13 19 37.158	-12 29 00.92	50047492	199.90482305	-12.48358890	  0.94	  0.58	H	  -24.12	    4.550	 1.471	  7.96	5547	 1411	1	 65014	1233516515	 5.373
   51125	1.938223	13 21 37.098	-09 26 02.40	50051125	200.40457333	-09.43399917	105.90	133.50	T	        	         	      	      	5544	 1247	1	      	 287101590	10.515	N
   47487	1.945457	13 17 21.977	-11 29 00.70	50047487	199.34157037	-11.48352689	  0.69	  0.49	H	  -65.83	    8.120	 0.264	  6.61	5547	 1519	1	 64828	 287011278	 6.170
   47488	1.996848	13 17 27.326	-10 32 46.64	50047488	199.36385729	-10.54628773	  0.67	  0.48	H	  -86.07	   16.400	 0.338	  6.89	5547	 1517	1	 64834	 287026914	 6.208
   51140	2.030430	13 30 53.870	-09 41 35.60	50051140	202.72445868	-09.69322150	  0.90	  0.62	H	   20.45	  -17.260	 0.559	  8.12	5545	  630	1	 65927	 299973677	 7.026
   47502	2.110596	13 22 45.650	-13 11 11.44	50047502	200.69021038	-13.18651083	  1.02	  0.55	H	  -19.45	   -2.050	 0.150	  7.77	5550	  208	1	 65283	1240599431	 7.403	*
   47491	2.126554	13 18 58.639	-12 38 53.12	50047491	199.74432915	-12.64808931	  0.87	  0.56	H	  -93.84	   -1.570	 0.400	  7.34	5550	 1031	1	 64971	1233498498	 6.585
   47519	2.154356	13 32 58.073	-10 09 54.00	50047519	203.24197067	-10.16499993	  0.73	  0.50	H	  -31.21	  -37.960	 0.964	  5.21	5548	 1546	1	 66098	 300015683	 3.768
   47509	2.155878	13 25 10.924	-13 19 01.91	50047509	201.29551544	-13.31719821	  8.00	 10.00	T	  -36.89	  -29.200	      	      	5550	  430	1	      	1233055265	 6.032
   47514	2.207913	13 27 15.838	-13 18 37.74	50047514	201.81599264	-13.31048347	  1.04	  0.61	H	  -16.27	   19.880	 1.057	  7.76	5551	  892	1	 65623	1219247477	 5.936
   47515	2.233222	13 27 40.811	-13 18 37.04	50047515	201.92004579	-13.31029012	 20.00	 23.00	T	    9.04	  -15.100	      	      	5551	  824	1	      	 876767760	 7.370
   47521	2.263059	13 34 17.847	-11 32 14.53	50047521	203.57436294	-11.53736816	  0.89	  0.46	H	  -70.36	  -55.460	 0.458	  7.10	5548	 1547	1	 66216	 300039982	 6.277
   47517	2.299993	13 31 37.017	-12 50 28.85	50047517	202.90423900	-12.84134616	 10.00	 13.00	T	    2.97	  -21.900	      	      	5551	  107	1	      	1270932643	 8.060
   47503	2.327008	13 23 06.099	-13 25 53.67	50047503	200.77541441	-13.43157496	 80.00	110.00	T	  -36.50	    1.900	      	      	5550	  568	1	      	1240599846	10.971
   51131	2.375506	13 25 14.838	-08 47 09.07	50051131	201.31182320	-08.78585396	  0.99	  0.85	H	   13.74	   -0.350	 0.125	  8.04	5544	  172	1	 65480	 287178641	 7.825
   51122	2.388170	13 18 32.203	-09 25 21.66	50051122	199.63418085	-09.42268342	 66.00	 95.00	T	    1.82	  -14.500	      	      	5544	 1240	1	      	 287044069	11.127
   47526	2.433723	13 34 50.675	-10 36 21.02	50047526	203.71114740	-10.60583814	  1.20	  0.77	H	    3.33	   -4.200	 1.091	  8.81	5548	  392	1	 66265	 300057127	 7.031
   47481	2.502654	13 15 00.877	-11 20 54.50	50047481	198.75365533	-11.34847142	  0.85	  0.56	H	   -0.60	   -6.460	 1.197	  8.05	5540	  557	1	 64643	 266864901	 6.052
   47506	2.515138	13 23 40.259	-13 38 55.90	50047506	200.91774564	-13.64885974	  1.08	  0.57	H	  -37.74	   -4.210	 1.365	  8.17	5550	  964	1	 65354	1233018977	 5.785
   47480	2.525046	13 14 55.765	-11 22 10.30	50047480	198.73235230	-11.36952782	 10.01	  7.18	D	 -197.98	 -322.310	      	      	5540	 1334	1	 64638	 266862694	 5.746
   47479	2.525214	13 14 55.721	-11 22 09.91	50047479	198.73217161	-11.36941931	  1.88	  1.18	D	 -224.69	 -295.480	      	      	5540	 1334	1	 64638	 266862694	 5.746
   47489	2.561080	13 18 49.613	-13 11 44.96	50047489	199.70671952	-13.19582330	  1.29	  0.72	H	  -72.95	  -60.910	 0.846	  8.95	5550	  573	1	 64952	1233499404	 7.337
   51126	2.561862	13 22 18.763	-08 41 58.51	50051126	200.57817872	-08.69958562	  1.03	  0.74	H	   -2.58	    5.940	 0.937	  8.56	5544	  253	1	 65250	 287110844	 6.854
